X	Y
12833.350586	42.016804
12857.150391	45.351471
12879.200195	46.511627
12900.700195	46.948353
12922.000000	47.058823
12943.250000	47.058823
12964.500000	47.169811
12985.700195	47.058823
13006.950195	47.169811
13028.150391	47.058823
13049.400391	47.058823
13070.650391	47.169811
13091.850586	47.058823
13113.100586	47.169811
13134.299805	47.058823
13155.549805	47.169811
13176.750000	47.058823
13198.000000	47.169811
13219.200195	47.058823
13240.450195	47.169811
13261.650391	47.058823
13282.900391	47.169811
13304.100586	1.329964
14056.000000	42.016804
14079.799805	45.351471
14101.850586	46.511627
14123.350586	46.948353
14144.650391	47.058823
14165.900391	47.058823
14187.150391	47.169811
14208.350586	47.058823
14229.600586	47.169811
14250.799805	47.058823
14272.049805	47.169811
14293.250000	47.058823
14314.500000	47.058823
14335.750000	47.169811
14356.950195	47.058823
14378.200195	47.169811
14399.400391	47.058823
14420.650391	47.169811
14441.850586	47.058823
14463.100586	47.169811
14484.299805	47.058823
14505.549805	47.169811
14526.750000	1.329876
15278.700195	41.928722
15302.549805	45.454544
15324.549805	46.511627
15346.049805	46.948353
15367.350586	47.058823
15388.600586	47.058823
15409.850586	47.058823
15431.100586	47.169811
15452.299805	47.058823
15473.549805	47.169811
15494.750000	47.058823
15516.000000	47.169811
15537.200195	47.058823
15558.450195	47.169811
15579.650391	47.058823
15600.900391	47.169811
15622.100586	47.058823
15643.350586	47.169811
15664.549805	47.058823
15685.799805	47.058823
15707.049805	47.169811
15728.250000	47.058823
15749.500000	1.330495
16501.099609	42.016804
16524.900391	45.351471
16546.951172	46.511627
16568.451172	46.948353
16589.750000	47.058823
16611.000000	47.058823
16632.250000	47.169811
16653.451172	47.058823
16674.701172	47.169811
16695.900391	47.058823
16717.150391	47.169811
16738.349609	47.058823
16759.599609	47.169811
16780.800781	47.058823
16802.050781	47.058823
16823.300781	47.169811
16844.500000	47.058823
16865.750000	47.169811
16886.951172	47.058823
16908.201172	47.169811
16929.400391	47.058823
16950.650391	47.169811
16971.849609	1.330583
17723.400391	41.928722
17747.250000	45.351471
17769.300781	46.620045
17790.750000	46.948353
17812.050781	47.058823
17833.300781	47.058823
17854.550781	47.058823
17875.800781	47.169811
17897.000000	47.058823
17918.250000	47.169811
17939.451172	47.058823
17960.701172	47.058823
17981.951172	47.169811
18003.150391	47.058823
18024.400391	47.169811
18045.599609	47.058823
18066.849609	47.169811
18088.050781	47.058823
18109.300781	47.169811
18130.500000	47.058823
18151.750000	47.169811
18172.951172	47.058823
