Simulation number,V2b synaptic conductance decrease,time,calcium concentration
1,100,90,115.7
1,100,100,116
2,100,0,100
2,100,10,102.5
2,100,20,105.2
2,100,30,107.7
2,100,40,109.9
2,100,50,111.9
2,100,60,113.7
2,100,70,115.1
2,100,80,115.3
2,100,90,115.6
2,100,100,115.8
3,100,0,100
3,100,10,101.9
3,100,20,104.8
3,100,30,107.4
3,100,40,109.7
3,100,50,111.9
3,100,60,113.8
3,100,70,115.1
3,100,80,115.4
3,100,90,115.6
3,100,100,115.8
9,100,0,100
9,100,10,101.7
9,100,20,103.2
9,100,30,106
9,100,40,107.3
9,100,50,109.7
9,100,60,111.7
9,100,70,113.5
9,100,80,115.1
9,100,90,115.3
9,100,100,115.5
12,100,0,100
12,100,10,101.3
12,100,20,104.2
12,100,30,107
12,100,40,109.4
12,100,50,111.7
12,100,60,113.8
12,100,70,115.1
12,100,80,115.4
12,100,90,115.6
12,100,100,115.8
