X	Y
2556.350098	45.871555
2578.150146	46.296295
2599.750000	46.511627
2621.250000	46.403709
2642.800049	46.511627
2664.300049	46.403709
2685.850098	46.511627
2707.350098	46.511627
2728.850098	46.403709
2750.400146	46.511627
2771.900146	46.511627
2793.400146	46.511627
2814.900146	46.403709
2836.449951	46.511627
2857.949951	46.511627
2879.449951	46.403709
2901.000000	1.970055
3408.600098	41.493774
3432.699951	44.943821
3454.949951	45.871555
3476.750000	46.296295
3498.350098	46.403709
3519.900146	46.511627
3541.400146	46.403709
3562.949951	46.511627
3584.449951	46.511627
3605.949951	46.403709
3627.500000	46.511627
3649.000000	46.511627
3670.500000	46.403709
3692.050049	46.511627
3713.550049	46.511627
3735.050049	46.403709
3756.600098	46.511627
3778.100098	46.511627
3799.600098	1.944958
4313.750000	41.493774
4337.850098	44.943821
4360.100098	45.871555
4381.899902	46.296295
4403.500000	46.403709
4425.050293	46.403709
4446.600098	46.511627
4468.100098	46.511627
4489.600098	46.403709
4511.149902	46.511627
4532.649902	46.511627
4554.149902	46.403709
4575.700195	46.511627
4597.200195	46.511627
4618.700195	46.403709
4640.250000	46.511627
4661.750000	46.511627
4683.250000	46.403709
4704.800293	1.940429
5220.149902	41.580040
5244.200195	44.943821
5266.450195	45.871555
5288.250000	46.296295
5309.850098	46.403709
5331.399902	46.403709
5352.950195	46.511627
5374.450195	46.511627
5395.950195	46.403709
5417.500000	46.511627
5439.000000	46.511627
5460.500000	46.403709
5482.050293	46.511627
5503.550293	46.511627
5525.050293	46.403709
5546.600098	46.511627
5568.100098	46.511627
5589.600098	46.403709
5611.149902	1.965602
6119.899902	41.493774
6144.000000	44.943821
6166.250000	45.871555
6188.050293	46.296295
6209.649902	46.403709
6231.200195	46.511627
6252.700195	46.403709
6274.250000	46.511627
6295.750000	46.511627
6317.250000	46.403709
6338.800293	46.511627
6360.300293	46.511627
6381.800293	46.403709
6403.350098	46.511627
6424.850098	46.511627
6446.350098	46.403709
6467.899902	46.511627
6489.399902	1.932927
7006.750000	41.493774
7030.850098	44.943821
7053.100098	45.871555
7074.899902	46.296295
7096.500000	46.403709
7118.050293	46.403709
7139.600098	46.511627
7161.100098	46.511627
7182.600098	46.403709
7204.149902	46.511627
7225.649902	46.511627
7247.149902	46.403709
7268.700195	46.511627
7290.200195	46.511627
7311.700195	46.403709
7333.250000	46.511627
