X	Y
27736.951172	46.511627
27758.451172	46.620045
27779.900391	46.511627
27801.400391	46.620045
27822.849609	46.511627
27844.349609	46.620045
27865.800781	46.511627
27887.300781	46.620045
27908.750000	46.620045
27930.201172	46.511627
27951.701172	46.620045
27973.150391	46.511627
27994.650391	46.620045
28016.099609	46.511627
28037.599609	46.620045
28059.050781	46.511627
28080.550781	46.620045
28102.000000	46.511627
28123.500000	46.620045
28144.951172	72.463768
28158.750000	75.757576
28171.951172	80.971657
28184.300781	82.304520
28196.451172	81.967216
28208.650391	81.632652
28220.900391	81.300812
28233.201172	81.300812
28245.500000	80.971657
28257.849609	80.645157
28270.250000	80.645157
28282.650391	80.321289
28295.099609	80.000000
28307.599609	79.681274
28320.150391	79.051376
28332.800781	79.365074
28345.400391	78.431374
28358.150391	78.431374
28370.900391	78.125000
28383.701172	77.519379
28396.599609	77.519379
28409.500000	76.923080
28422.500000	76.628349
28435.550781	76.045624
28448.701172	76.045624
28461.849609	75.187965
28475.150391	75.187965
28488.451172	74.349442
28501.900391	74.074074
28515.400391	73.260071
28529.050781	72.992699
28542.750000	72.463768
28556.550781	71.684586
28570.500000	70.921982
28584.599609	70.422539
28598.800781	69.444443
28613.201172	68.728523
28627.750000	67.796608
28642.500000	67.114090
28657.400391	65.359474
28672.701172	63.897762
28688.349609	61.728394
28704.550781	24.009604
28746.201172	47.505936
28767.250000	46.728973
28788.650391	46.620045
28810.099609	46.511627
28831.599609	46.620045
28853.050781	46.511627
28874.550781	46.620045
28896.000000	46.620045
28917.451172	46.511627
28938.951172	46.620045
28960.400391	46.511627
28981.900391	46.620045
29003.349609	46.511627
29024.849609	46.620045
29046.300781	46.511627
29067.800781	46.620045
29089.250000	46.511627
29110.750000	46.620045
29132.201172	46.620045
29153.650391	46.511627
29175.150391	46.620045
29196.599609	46.511627
29218.099609	46.620045
29239.550781	46.511627
29261.050781	46.620045
29282.500000	46.511627
29304.000000	83.682007
29315.951172	79.681274
29328.500000	81.300812
29340.800781	82.304520
29352.951172	81.967216
29365.150391	81.632652
29377.400391	81.300812
29389.701172	81.300812
29402.000000	80.971657
29414.349609	80.645157
29426.750000	80.321289
29439.201172	80.321289
29451.650391	80.000000
29464.150391	79.365074
29476.750000	79.365074
29489.349609	79.051376
29502.000000	78.431374
29514.750000	78.431374
29527.500000	77.821007
29540.349609	77.519379
29553.250000	77.519379
29566.150391	76.628349
29579.201172	76.628349
29592.250000	76.045624
29605.400391	75.757576
29618.599609	75.187965
29631.900391	74.906364
29645.250000	74.349442
29658.701172	74.074074
29672.201172	73.260071
29685.849609	72.727272
29699.599609	72.202164
29713.451172	71.428574
29727.451172	71.174377
29741.500000	70.175438
29755.750000	69.204155
29770.201172	68.493149
29784.800781	67.567566
29799.599609	66.445183
29814.650391	64.724922
29830.099609	63.091480
29845.951172	61.349689
29862.250000	24.038460
29903.849609	47.393364
29924.951172	46.620045
29946.400391	46.620045
29967.849609	46.620045
29989.300781	46.511627
30010.800781	46.620045
30032.250000	46.511627
30053.750000	46.620045
30075.201172	46.511627
30096.701172	46.620045
30118.150391	46.620045
30139.599609	46.511627
30161.099609	46.620045
30182.550781	46.511627
30204.050781	46.620045
30225.500000	46.511627
30247.000000	46.620045
30268.451172	46.511627
30289.951172	46.620045
30311.400391	46.511627
30332.900391	46.620045
30354.349609	46.620045
30375.800781	46.511627
30397.300781	46.620045
30418.750000	46.511627
30440.250000	46.620045
30461.701172	83.333336
30473.701172	79.681274
30486.250000	81.300812
30498.550781	81.967216
30510.750000	81.967216
30522.951172	81.632652
30535.201172	81.300812
30547.500000	81.300812
30559.800781	80.971657
30572.150391	80.645157
30584.550781	80.321289
30597.000000	80.321289
30609.451172	80.000000
30621.951172	79.365074
30634.550781	79.365074
30647.150391	79.051376
30659.800781	78.431374
30672.550781	78.431374
30685.300781	77.821007
30698.150391	77.519379
30711.050781	77.519379
30723.951172	76.628349
30737.000000	76.628349
30750.050781	76.045624
30763.201172	75.757576
30776.400391	75.187965
30789.701172	74.906364
30803.050781	74.349442
30816.500000	73.800735
30830.050781	73.260071
30843.701172	72.992699
30857.400391	72.202164
30871.250000	71.428574
30885.250000	70.921982
30899.349609	70.175438
30913.599609	69.204155
30928.050781	68.493149
30942.650391	67.340065
30957.500000	66.445183
30972.550781	64.516129
30988.050781	63.291138
31003.849609	61.349689
31020.150391	24.009604
31061.800781	47.281326
31082.951172	46.728973
31104.349609	46.620045
31125.800781	46.511627
31147.300781	46.620045
31168.750000	46.511627
31190.250000	46.620045
31211.701172	46.511627
31233.201172	46.620045
31254.650391	46.511627
31276.150391	46.620045
31297.599609	46.511627
31319.099609	46.620045
31340.550781	46.620045
31362.000000	46.511627
31383.500000	46.620045
31404.951172	46.511627
