X	Y
13563.850586	47.393364
13584.950195	46.620045
13606.400391	46.403709
13627.950195	46.403709
13649.500000	46.511627
13671.000000	46.403709
13692.549805	46.403709
13714.100586	46.403709
13735.650391	46.511627
13757.150391	46.403709
13778.700195	46.403709
13800.250000	46.403709
13821.799805	46.511627
13843.299805	46.403709
13864.850586	46.403709
13886.400391	46.403709
13907.950195	46.511627
13929.450195	46.403709
13951.000000	46.403709
13972.549805	46.511627
13994.049805	46.403709
14015.600586	46.403709
14037.150391	46.403709
14058.700195	46.511627
14080.200195	46.403709
14101.750000	46.403709
14123.299805	46.403709
14144.850586	46.511627
14166.350586	46.403709
14187.900391	46.403709
14209.450195	46.403709
14231.000000	46.511627
14252.500000	46.403709
14274.049805	46.403709
14295.600586	82.987549
14307.650391	46.620045
14329.100586	46.403709
14350.650391	46.511627
14372.150391	50.890587
14391.799805	55.096420
14409.950195	56.338028
14427.700195	56.338028
14445.450195	55.710304
14463.400391	55.096420
14481.549805	54.347828
14499.950195	53.908352
14518.500000	53.050396
14537.350586	73.260071
14551.000000	80.321289
14563.450195	81.632652
14575.700195	81.300812
14588.000000	80.971657
14600.350586	80.645157
14612.750000	80.645157
14625.150391	80.321289
14637.600586	80.000000
14650.100586	79.681274
14662.650391	79.365074
14675.250000	79.051376
14687.900391	78.740158
14700.600586	78.431374
14713.350586	78.125000
14726.150391	77.821007
14739.000000	77.519379
14751.900391	76.923080
14764.900391	76.628349
14777.950195	76.335876
14791.049805	75.757576
14804.250000	75.471695
14817.500000	74.906364
14830.850586	74.626862
14844.250000	74.074074
14857.750000	73.529411
14871.350586	72.992699
14885.049805	72.202164
14898.900391	71.942444
14912.799805	71.174377
14926.850586	70.175438
14941.100586	69.444443
14955.500000	68.728523
14970.049805	67.796608
14984.799805	66.889633
14999.750000	65.573769
15015.000000	63.897762
15030.650391	61.919506
15046.799805	23.980814
15088.500000	47.281326
15109.650391	46.511627
15131.150391	46.511627
15152.650391	46.403709
15174.200195	46.403709
15195.750000	46.403709
15217.299805	46.511627
15238.799805	46.403709
15260.350586	46.403709
15281.900391	46.403709
15303.450195	46.511627
15324.950195	46.403709
15346.500000	46.403709
15368.049805	46.511627
15389.549805	46.403709
15411.100586	46.403709
15432.650391	46.403709
15454.200195	46.511627
