X	Y
17548.250000	47.732697
17569.201172	46.948353
17590.500000	46.838406
17611.849609	46.838406
17633.201172	46.838406
17654.550781	46.838406
17675.900391	46.728973
17697.300781	46.838406
17718.650391	46.838406
17740.000000	46.728973
17761.400391	46.838406
17782.750000	46.838406
17804.099609	46.728973
17825.500000	46.838406
17846.849609	46.838406
17868.201172	46.838406
17889.550781	46.728973
17910.951172	46.838406
17932.300781	46.838406
17953.650391	46.728973
17975.050781	46.838406
17996.400391	46.838406
18017.750000	46.838406
18039.099609	3.546099
18321.099609	40.485828
18345.800781	68.259384
18360.451172	63.694267
18376.150391	61.919506
18392.300781	24.096386
18433.800781	76.923080
18446.800781	23.980814
18488.500000	47.169811
18509.701172	46.838406
18531.050781	46.838406
18552.400391	46.728973
18573.800781	46.838406
18595.150391	46.838406
18616.500000	46.838406
18637.849609	46.728973
18659.250000	46.838406
18680.599609	46.838406
18701.951172	46.728973
18723.349609	46.838406
18744.701172	46.838406
18766.050781	46.838406
18787.400391	46.728973
18808.800781	46.838406
18830.150391	46.838406
18851.500000	46.728973
18872.900391	46.838406
18894.250000	46.838406
18915.599609	46.838406
18936.951172	46.728973
18958.349609	46.838406
18979.701172	46.838406
19001.050781	3.553029
19282.500000	40.241447
19307.349609	68.027214
19322.050781	64.516129
19337.550781	62.111801
19353.650391	24.067389
19395.201172	81.967216
19407.400391	23.724792
19449.550781	47.058823
19470.800781	46.838406
19492.150391	46.838406
19513.500000	46.838406
19534.849609	46.728973
19556.250000	46.838406
19577.599609	46.838406
19598.951172	46.838406
19620.300781	46.728973
19641.701172	46.838406
19663.050781	46.838406
19684.400391	46.728973
19705.800781	46.838406
19727.150391	46.838406
19748.500000	46.838406
19769.849609	46.728973
19791.250000	46.838406
19812.599609	46.838406
19833.951172	46.728973
19855.349609	46.838406
19876.701172	46.838406
19898.050781	46.728973
19919.451172	46.838406
19940.800781	46.838406
19962.150391	3.546728
20244.099609	40.485828
20268.800781	68.027214
20283.500000	64.102562
20299.099609	62.305290
20315.150391	24.067389
20356.701172	90.909088
20367.701172	32.102730
20398.849609	48.192772
20419.599609	47.058823
20440.849609	46.838406
20462.201172	46.838406
20483.550781	46.728973
20504.951172	46.838406
20526.300781	46.838406
20547.650391	46.728973
20569.050781	46.838406
20590.400391	46.838406
20611.750000	46.838406
20633.099609	46.728973
20654.500000	46.838406
20675.849609	46.838406
20697.201172	46.728973
20718.599609	46.838406
20739.951172	46.838406
20761.300781	46.838406
20782.650391	46.728973
20804.050781	46.838406
20825.400391	46.838406
20846.750000	46.728973
20868.150391	46.838406
20889.500000	82.644623
20901.599609	77.519379
20914.500000	79.681274
20927.050781	80.645157
20939.451172	80.000000
20951.951172	80.000000
20964.451172	79.365074
20977.050781	79.365074
20989.650391	79.051376
21002.300781	78.740158
21015.000000	78.431374
21027.750000	77.821007
21040.599609	77.821007
21053.451172	77.220078
21066.400391	76.923080
21079.400391	76.628349
21092.451172	76.335876
21105.550781	75.471695
21118.800781	75.471695
21132.050781	74.906364
21145.400391	74.349442
21158.849609	73.800735
21172.400391	73.529411
21186.000000	72.727272
21199.750000	72.463768
21213.550781	71.428574
21227.550781	70.921982
21241.650391	70.175438
21255.900391	69.444443
21270.300781	68.493149
21284.900391	67.340065
21299.750000	66.225166
21314.849609	64.935066
21330.250000	63.897762
21345.900391	61.349689
21362.201172	24.096386
21403.701172	47.732697
21424.650391	46.948353
21445.951172	46.728973
21467.349609	46.838406
21488.701172	46.838406
21510.050781	46.838406
21531.400391	46.728973
21552.800781	46.838406
21574.150391	46.838406
21595.500000	46.728973
21616.900391	46.838406
21638.250000	46.838406
21659.599609	46.838406
21680.951172	46.728973
21702.349609	46.838406
21723.701172	46.838406
21745.050781	46.728973
21766.451172	46.838406
21787.800781	46.838406
21809.150391	46.838406
21830.500000	46.728973
21851.900391	46.838406
21873.250000	46.838406
