Bin,Hz,Power (mean sq amp),condition
160,24.41,0.00322789,gap_junc_block
161,24.57,0.00357615,gap_junc_block
162,24.72,0.00299013,gap_junc_block
163,24.87,0.000911949,gap_junc_block
164,25.02,0.00241708,gap_junc_block
165,25.18,0.00200264,gap_junc_block
166,25.33,0.00320849,gap_junc_block
167,25.48,0.00556842,gap_junc_block
168,25.63,0.00328617,gap_junc_block
169,25.79,0.00472752,gap_junc_block
170,25.94,0.00123703,gap_junc_block
171,26.09,0.000777532,gap_junc_block
172,26.25,0.00035109,gap_junc_block
173,26.4,3.54E-06,gap_junc_block
174,26.55,0.00123873,gap_junc_block
175,26.7,0.000574754,gap_junc_block
176,26.86,0.00192308,gap_junc_block
177,27.01,0.00379488,gap_junc_block
178,27.16,0.000115381,gap_junc_block
179,27.31,0.00147842,gap_junc_block
180,27.47,0.0015731,gap_junc_block
181,27.62,0.00350126,gap_junc_block
182,27.77,0.00463429,gap_junc_block
183,27.92,0.00358166,gap_junc_block
184,28.08,0.000282785,gap_junc_block
185,28.23,0.000330808,gap_junc_block
186,28.38,0.00190842,gap_junc_block
187,28.53,0.00194817,gap_junc_block
188,28.69,0.00527595,gap_junc_block
189,28.84,0.00655668,gap_junc_block
190,28.99,0.00513491,gap_junc_block
191,29.14,0.0175297,gap_junc_block
192,29.3,0.00746601,gap_junc_block
193,29.45,0.00437495,gap_junc_block
194,29.6,0.00467821,gap_junc_block
195,29.75,0.0053267,gap_junc_block
196,29.91,0.00369363,gap_junc_block
197,30.06,0.00954757,gap_junc_block
198,30.21,0.0199365,gap_junc_block
199,30.36,0.00298211,gap_junc_block
200,30.52,0.000802101,gap_junc_block
201,30.67,0.00264211,gap_junc_block
202,30.82,0.00344254,gap_junc_block
203,30.98,0.00499664,gap_junc_block
204,31.13,0.00453159,gap_junc_block
205,31.28,0.0021094,gap_junc_block
206,31.43,0.00360105,gap_junc_block
207,31.59,0.0128343,gap_junc_block
208,31.74,0.00569026,gap_junc_block
209,31.89,0.00552112,gap_junc_block
210,32.04,0.0106719,gap_junc_block
211,32.2,0.00759742,gap_junc_block
212,32.35,0.00776411,gap_junc_block
213,32.5,0.000408294,gap_junc_block
214,32.65,0.00100104,gap_junc_block
215,32.81,0.0022616,gap_junc_block
216,32.96,0.00299495,gap_junc_block
217,33.11,0.00245094,gap_junc_block
218,33.26,0.00411077,gap_junc_block
219,33.42,0.00622118,gap_junc_block
220,33.57,0.000324906,gap_junc_block
221,33.72,0.0076871,gap_junc_block
222,33.87,0.0036911,gap_junc_block
223,34.03,0.00398008,gap_junc_block
224,34.18,0.00152372,gap_junc_block
225,34.33,0.0035211,gap_junc_block
226,34.48,0.000799097,gap_junc_block
227,34.64,0.00156331,gap_junc_block
228,34.79,0.00457708,gap_junc_block
229,34.94,0.00166191,gap_junc_block
230,35.1,0.00386804,gap_junc_block
231,35.25,0.00158009,gap_junc_block
232,35.4,0.000286643,gap_junc_block
233,35.55,0.000125722,gap_junc_block
234,35.71,0.00211306,gap_junc_block
235,35.86,0.00148124,gap_junc_block
236,36.01,0.00230727,gap_junc_block
237,36.16,0.0023807,gap_junc_block
238,36.32,0.0011142,gap_junc_block
239,36.47,0.0013323,gap_junc_block
240,36.62,0.00309745,gap_junc_block
241,36.77,0.0051388,gap_junc_block
