Condition,spikes number,mean burst duration (s),burst number,spike frequency/burst,burst frequency,Spike number/burst,Mean Interburst period (s),TE/T %,Transition E-F
RCF,1635,0.3,109,50,1.112244898,15,0.59,33.33333333,
RCE,1620,0.31,108,48.38709677,1.102040816,15,0.6,34.44444444,
RCE,1224,0.15,161,50.68322981,1.642857143,7.602484472,0.46,24.59016393,
RCE,1649,0.31,106,50.18259282,1.081632653,15.55660377,0.61,33.69565217,
RCE,1618,0.3,108,49.9382716,1.102040816,14.98148148,0.6,32.96703297,
RCE,1621,0.3,109,49.57186544,1.112244898,14.87155963,0.59,33.33333333,
RCE,1471,0.23,127,50.35946594,1.295918367,11.58267717,0.54,29.87012987,
IaF,1452,0.22,132,50,1.346938776,11,0.52,29.72972973,
IaF,1430,0.22,130,50,1.326530612,11,0.53,29.33333333,
IaF,1274,0.16,153,52.04248366,1.56122449,8.326797386,0.48,25.3968254,
IaF,1343,0.17,149,53.02013423,1.520408163,9.013422819,0.48,26.15384615,
IaF,1731,0.37,96,48.73310811,0.979591837,18.03125,0.65,36.2745098,
IaF,1547,0.26,119,50,1.214285714,13,0.56,31.70731707,
IaF,1455,0.23,129,49.03943377,1.316326531,11.27906977,0.53,30.66666667,
IaF,1683,0.35,99,48.57142857,1.010204082,17,0.64,35.35353535,
IaF,1324,0.17,147,52.98119248,1.5,9.006802721,0.49,25.37313433,
IaF,1696,0.37,94,48.76365727,0.959183673,18.04255319,0.67,35.57692308,
IaE,1635,0.31,109,48.38709677,1.112244898,15,0.59,34.83146067,
IaE,1400,0.19,140,52.63157895,1.428571429,10,0.5,27.14285714,
IaE,1582,0.28,113,50,1.153061224,14,0.58,32.18390805,
IaE,1752,0.39,92,48.82943144,0.93877551,19.04347826,0.67,36.79245283,
IaE,1478,0.24,123,50.06775068,1.255102041,12.01626016,0.55,30.37974684,
IaE,1403,0.2,138,50.83333333,1.408163265,10.16666667,0.51,28.16901408,
IaE,1500,0.24,125,50,1.275510204,12,0.54,30.76923077,
IaE,1401,0.2,140,50.03571429,1.428571429,10.00714286,0.5,28.57142857,
IaE,1668,0.33,102,49.5543672,1.040816327,16.35294118,0.63,34.375,
IaE,1560,0.26,120,50,1.224489796,13,0.56,32.09876543,
